"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/calgary/yycmc/hoteldetail","Holiday Inn Calgary-Macleod Trail South","4206 Macleod Trail South","Calgary","Alberta","T2G 2R7","CA","yycmc","1-403-2872700","Hotel","51.01652","-114.06401","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/calgary/yycat/hoteldetail","Holiday Inn Calgary-Airport","1250 McKinnon Drive, N.E.","Calgary","Alberta","T2E 7T7","CA","yycat","1-403-2301999","Hotel","51.066","-114.0109","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/calgary/yycdm/hoteldetail","Holiday Inn & Suites Calgary South - Conference Ctr","8360 Blackfoot Trail SE","Calgary","Alberta","T2J 7E1","CA","yycdm","1-403-4758561","Hotel","50.977988","-114.04798","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/calgary/yycan/hoteldetail","Holiday Inn & Suites Calgary Airport North","20 Freeport Place NE","Calgary","Alberta","T3J-0T6","CA","yycan","1-403-2897800","Hotel","51.151911","-114.003804","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/canmore/yyccm/hoteldetail","Holiday Inn Canmore","1 Silvertip Trail","Canmore","Alberta","T1W 2Z7","CA","yyccm","1-403-6094422","Hotel","51.09358","-115.34598","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/edmonton/yegem/hoteldetail","Holiday Inn Conference Ctr Edmonton South","4485 Gateway Boulevard","Edmonton","Alberta","T6H 5C3","CA","yegem","1-780-4311100","Hotel","53.48207","-113.49156","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/west-edmonton/yegwe/hoteldetail","Holiday Inn & Suites West Edmonton","11330 170th Street","West Edmonton","Alberta","T5S 2X1","CA","yegwe","1-780-4443110","Hotel","53.564413","-113.616786","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/edmonton/yegso/hoteldetail","Holiday Inn Edmonton South - Evario Events","950 Parsons Road SW","Edmonton","Alberta","T6X 0J4","CA","yegso","1-780-7848500","Hotel","53.4242011","-113.4799457","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/nisku/yegae/hoteldetail","Holiday Inn & Suites Edmonton Arpt - Conference Ctr","1100-4 Street","Nisku","Alberta","T9E 8E2","CA","yegae","1-780-9790839","Hotel","53.30986","-113.53711","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/grande-prairie/yquab/hoteldetail","Holiday Inn & Suites Grande Prairie-Conference Ctr","9816 107 Street","Grande Prairie","Alberta","T8V 8E7","CA","yquab","1-780-4026886","Hotel","55.169456","-118.819112","<MISSING>"
